image_name,pull_count,star_count,last_updated
gitlab-enterprise-edition,,,2020-02-19T18:10:09.448994Z
glassfish,1212894,,2021-08-25T05:21:57.31983Z
golang,1315051533,,2021-08-25T05:19:39.578166Z
gradle,144240631,,2021-08-25T06:20:54.648735Z
groovy,64621169,,2021-08-25T06:21:21.474533Z
haproxy,708627792,,2021-08-25T08:20:32.011166Z
haskell,6044661,,2021-08-25T08:22:05.626809Z
haxe,20527755,,2021-08-25T08:21:48.255404Z
heartbeat,,,2021-08-03T13:27:12.159782Z
hello-seattle,2488130,,2021-08-25T09:22:29.376176Z
hello-world,1558995441,,2021-08-25T09:19:33.847414Z
hipache,404157,,2021-08-25T09:22:43.134091Z
hola-mundo,1377444,,2021-08-25T10:22:09.624752Z
hpe-nimble-kube-storage-controller,,,2019-09-20T15:56:23.841188Z
httpd,3032675914,,2021-08-25T10:19:04.425432Z
hylang,15827307,,2021-08-25T11:21:51.136339Z
ibm-cloud-automation-manager,,,2019-11-27T17:00:49.448582Z
ibm-db2-warehouse-client-container,,,2020-03-31T18:17:20.300527Z
ibm-db2-warehouse-dev,,,2020-03-31T19:24:30.304421Z
ibm-db2-warehouse-ee,,,2020-03-31T19:24:27.260734Z
ibm-db2-warehouse-sample-container,,,2019-09-10T13:30:32.331874Z
ibm-netcool-probe-email,,,2018-11-30T08:31:46.897678Z
ibm-security-guardium-external-stap,,,2021-05-14T15:23:52.010579Z
ibmjava,11525152,,2021-08-25T11:21:55.329297Z
influxdata-influxdb,,,2017-05-11T19:00:27.164672Z
influxdb,862216159,,2021-08-25T13:20:00.168893Z
instana-dynamic-apm,,,2017-11-21T19:08:36.382036Z
iojs,16959819,,2021-08-25T14:22:00.357435Z
irssi,7389028,,2021-08-25T14:22:09.911246Z
java,132033155,,2021-08-25T16:21:01.349818Z
jenkins,131019163,,2021-08-25T17:21:23.751919Z
jetty,31601787,,2021-08-25T18:21:46.266344Z
joomla,72276131,,2021-08-25T21:21:11.558823Z
jruby,44897903,,2021-08-25T22:21:23.392569Z
julia,10040140,,2021-08-25T22:21:47.114689Z
kaazing-enterprise-gateway,,,2018-09-06T16:49:05.687627Z
kaazing-gateway,1759747,,2021-08-25T23:22:04.518039Z
